Name;Type;Damage;Attacks;Decay;Ammo
Castorian Survival EnBlade-3, Mentor Edition;Shortblades;16;55;4.289;0
Castorian Survival EnBlade-4;Shortblades;18;50;5.900;0
Castorian Survival EnBlade-5;Shortblades;23;50;7.770;0
Castorian Survival EnBlade-5, Mentor Edition;Shortblades;25;59;6.200;0
Castorian Survival EnBlade-5, SGA Edition;Shortblades;25;50;7.360;0
Castorian Survival EnBlade-6;Shortblades;26;55;7.850;0
Castorian Survival EnBlade-6, Mentor Edition;Shortblades;26;59;6.630;0
Castorian Survival EnBlade-7;Shortblades;28;60;8.800;0
Castorian Survival EnBlade-7, Improved;Shortblades;42;100;12.600;0
Castorian Survival EnBlade-8;Shortblades;36;75;11.240;0
Castorian Survival EnBlade-9;Shortblades;45;75;13.670;0
Castorian Survival EnBlade-10;Shortblades;57;86;17.500;0
Castorian Survival EnBlade-11;Shortblades;45;80;10.600;0
Castorian Survival EnBlade-12;Shortblades;46;86;10.900;0
Castorian Survival EnBlade-14, Mentor Edition;Shortblades;51;74;12.000;0
Castorian Survival EnBlade-A;Shortblades;11;44;2.788;0
Castorian Survival EnBlade-B (L);Shortblades;5;78;1.200;0
Castorian Xeno-Dagger Scratcher;Shortblades;66;67;15.820;0
Castorian Xeno-Dagger Scratcher (L);Shortblades;66;67;15.819;0
Castorian Xeno-Dagger Shredder (L);Shortblades;68;78;16.100;0
Castorian Xeno-Dagger Slicer (L);Shortblades;67;73;16.000; 
Castorian Xeno-Dagger Stabber (L);Shortblades;69;74; ;0
Castorian Xeno-Dagger Stinger (L);Shortblades;75;62; ;0
CCA/Chikara LR-1 Arrival (L);Laser;6;50;0.135;134
CCA/Chikara LR-2 Progress (L);Laser;11;43;0.201;250
CCA/Chikara LR-3 Colonial (L);Laser;14;43;0.256;318
CCA/Chikara LR-Arrival, CDF Edition (L);Laser;6;50;0.001;148
CCA/Chikara LR-Colonial, CDF Edition (L);Laser;14;43;0.001;344
CCA/Chikara LR-Progress, CDF Edition (L);Laser;11;43;0.001;267
CDF XTLC 200;Laser;50;44;1.288;1081
CDF XTLC 400;Laser;86;44;2.140;1866
CDF XTLC 600;Laser;113;44;2.886;2442
CDF XTLC 800;Laser;138;44;3.462;2984
CDF XTLC 1000;Laser;159;44;3.912;3440
Cempball-Welch 1/P-1;Plasma;24;16;0.060;600
Cempball-Welch 1/P-1, Mentor Edition;Plasma;27;19;0.120;700
Cempball-Welch 1/P-2;Plasma;56;19;0.800;1300
Cempball-Welch 1/P-3;Plasma;60;20;1.640;1300
Cempball-Welch 1/P-3, Ancient;Plasma;60;20;0.000;1300
Chaz Wolf (L);Laser;13;37; ;300
Cheap A$$ Mk-1 Rifle (L);BLP;2;34;0.081;41
Chef's Knife (L);Shortblades;5;78;1.200;0
Chikara APPPG-1;Plasma;132;22;8.920;2300
Chikara APPPG-1, SGA Edition;Plasma;132;23;8.923;2300
Chikara Bakeneko (L);Power Fist;75;67; ;0
Chikara Hanyo (L);Power Fist;93;67; ; 
Chikara Mizuchi (L);Power Fist;84;67;20.000;0
Chikara Mudra Mk. 1 (L);Power Fist;5;67;1.200;0
Chikara Mudra Mk. 2 (L);Power Fist;8;67;1.950;0
Chikara Oni-Go (L);Laser;14;74;0.330;310
Chikara Oni-Go, CDF Edition (L);Laser;14;74;0.002;343
Chikara Oni-Ichi (L);Laser;4;74;0.090;89
Chikara Oni-Ichi, CDF Edition (L);Laser;4;74;0.001;98
Chikara Oni-Ni (L);Laser;6;67;0.196;128
Chikara Oni-Ni, CDF Edition (L);Laser;6;67;0.001;147
Chikara Oni-Roku (L);Laser;16;77;0.435;348
Chikara Oni-Roku, CDF Edition (L);Laser;16;77;0.002;391
Chikara Oni-Roku, E.L.M Edition (L);Laser;16;77;0.009;390
Chikara Oni-Roku, MM Edition (L);Laser; ; ; ; 
Chikara Oni-San (L);Laser;7;74;0.250;147
Chikara Oni-San, CDF Edition (L);Laser;7;74;0.001;172
Chikara Oni-Shi (L);Laser;11;67;0.270;243
Chikara Oni-Shi, CDF Edition (L);Laser;11;67;0.002;270
Chikara Oni-Shichi (L);Laser;20;74;0.500;439
Chikara Oni-Shichi, CDF Edition (L);Laser;20;74;0.002;489
Chikara Vamachara Mk. 1 (L);Laser;7;51;0.380;130
Chikara Vamachara Mk. 2 (L);Laser;10;51;0.510;190
ClericDagger 1A;Shortblades;11;41;3.070;0
ClericDagger 1B;Shortblades;12;48;4.520;0
ClericDagger 1C;Shortblades;16;48;5.200;0
ClericDagger 2A;Shortblades;18;54;5.800;0
ClericDagger 2B;Shortblades;23;54;7.360;0
ClericDagger 2C;Shortblades;26;55;8.300;0
ClericDagger 3A;Shortblades;28;61;8.900;0
ClericDagger 3B;Shortblades;36;75; ;0
ClericDagger 3C;Shortblades;45;75;14.000;0
Cochran LP1 (L);Laser;4;68; ;87
Cochran LP3 (L);Laser;11;55;0.260;238
Cochran LP5 (L);Laser;16;55; ;346
Cochran LP7 (L);Laser;21;55; ;454
Cochran LP9 (L);Laser;25;55; ;540
Cochran LP10 (L) Adapted;Laser;23;60;0.539;480
Cochran LR3 (L);Laser;15;40;0.360;324
Cochran LR5 (L);Laser;22;40;0.530;475
Cochran LR7 (L);Laser;29;40;0.696;626
Cochran LR9 (L);Laser;34;40;0.820;734
Cochran LR10 (L) Adapted;Laser;34;40;0.770;710
Cochran P1 (L);BLP;4;68;0.100;87
Cold-ir;Laser;42;41;0.800;1000
Combustive Attack Chip 1 (L);Pyro;20;22;1.923;294
Combustive Attack Chip 2 (L);Pyro;38;22;3.697;554
Combustive Attack Chip 3 (L);Pyro;51;22;4.963;744
Combustive Attack Chip 4 (L);Pyro;73;22;7.109;1065
Combustive Attack Chip 5 (L);Pyro;96;22;9.327;1398
Combustive Attack Chip 6 (L);Pyro;119;22;11.561;1734
Combustive Attack Chip 7 (L);Pyro;145;22;14.097;2115
Combustive Attack Chip 8 (L);Pyro;164;22;15.609;2388
Combustive Attack Nanochip 1;Pyro;20;22;0.416;444
Combustive Attack Nanochip 1 (L);Pyro;20;22;0.311;450
Combustive Attack Nanochip 2;Pyro;38;22;0.534;869
Combustive Attack Nanochip 2 (L);Pyro;38;22;0.391;875
Combustive Attack Nanochip 3;Pyro;51;22; ;1185
Combustive Attack Nanochip 3 (L);Pyro;51;22;0.396;1186
Combustive Attack Nanochip 4;Pyro;73;22;0.526;1721
Combustive Attack Nanochip 4 (L);Pyro;73;22;0.402;1714
Combustive Attack Nanochip 4, Adjusted (L);Pyro;73;22; ;1790
Combustive Attack Nanochip 5;Pyro;96;22;1.017;2229
Combustive Attack Nanochip 5 (L);Pyro;96;22;0.556;2250
Combustive Attack Nanochip 5, TEN Edition;Pyro;96;23;0.976;2177
Combustive Attack Nanochip 6;Pyro;119;22;1.399;2752
Combustive Attack Nanochip 6 (L);Pyro;119;22;0.659;2794
Combustive Attack Nanochip 7;Pyro;145;22;1.866;3333
Combustive Attack Nanochip 7 (L);Pyro;145;22;0.700;3413
Combustive Attack Nanochip 8;Pyro;164;22;2.360;3745
Combustive Attack Nanochip 8 (L);Pyro;164;22;0.875;3855
Combustive Attack Nanochip 9 (L);Pyro;170;23; ;3990
Combustive Attack Nanochip 10 (L);Pyro;184;23;1.011;4322
Combustive Strike Chip 1 (L);Pyro;215;1;10.447;4210
Combustive Strike Chip 2 (L);Pyro;236;1; ;4620
Combustive Strike Chip 3 (L);Pyro;256;1; ;5005
Combustive Strike Chip 4 (L);Pyro;276;1; ;5400
Combustive Strike Chip 5 (L);Pyro;294;1; ;5760
Combustive Strike Chip 6 (L);Pyro;312;1; ;6100
Combustive Strike Chip 7 (L);Pyro;326;1; ;6380
Combustive Strike Chip 8;Pyro;340;1; ;6680
Combustive Strike Chip 8 (L);Pyro;340;1; ;6650
Combustive Strike Nanochip (L);Pyro;215;1; ;5175
Company Sub-Zero Sniper Rifle Mk I(L);BLP;8;56; ;100
Confiscated Duster Slicer;Shortblades;35;74; ;0
Corrosive Attack Chip 1 (L);Pyro;5;67;0.235;98
Corrosive Attack Chip 2 (L);Pyro;7;65; ;137
Corrosive Attack Chip 3 (L);Pyro;14;63; ;273
Corrosive Attack Chip 3, Mentor Edition;Pyro;19;63;0.667;392
Corrosive Attack Chip 4 (L);Pyro;22;62;1.063;428
Corrosive Attack Chip 5 (L);Pyro;29;60;1.397;565
Corrosive Attack Chip 6 (L);Pyro;36;58;1.749;700
Corrosive Attack Chip 7 (L);Pyro;45;57;2.142;875
Corrosive Attack Nanochip 1;Pyro;5;67;0.147;106
Corrosive Attack Nanochip 1 (L);Pyro;5;67;0.111;109
Corrosive Attack Nanochip 2;Pyro;7;63;0.306;138
Corrosive Attack Nanochip 2 (L);Pyro;7;63;0.237;144
Corrosive Attack Nanochip 3;Pyro;14;63;0.275;304
Corrosive Attack Nanochip 3 (L);Pyro;14;63;0.249;310
Corrosive Attack Nanochip 4;Pyro;22;62;0.354;496
Corrosive Attack Nanochip 4 (L);Pyro;22;62;0.266;499
Corrosive Attack Nanochip 5;Pyro;29;60; ;653
Corrosive Attack Nanochip 5 (L);Pyro;29;60;0.275;665
Corrosive Attack Nanochip 5, Adjusted;Pyro;29;60;0.464;653
Corrosive Attack Nanochip 5, TEN Edition;Pyro;29;67;0.466;631
Corrosive Attack Nanochip 6;Pyro;36;58;0.575;813
Corrosive Attack Nanochip 6 (L);Pyro;36;58;0.284;831
Corrosive Attack Nanochip 7;Pyro;45;57;0.688;1017
Corrosive Attack Nanochip 7 (L);Pyro;45;57;0.306;1045
Corrosive Attack Nanochip 8;Pyro;54;55;0.818;1223
Corrosive Attack Nanochip 8 (L);Pyro;54;55;0.326;1257
Corrosive Attack Nanochip 9;Pyro;62;54;0.923;1406
Corrosive Attack Nanochip 9 (L);Pyro;62;54;0.371;1444
Corrosive Attack Nanochip 10;Pyro;70;53;0.980;1591
Corrosive Attack Nanochip 10 (L);Pyro;70;53;0.407;1632
Corrosive Attack Nanochip 11;Pyro;78;51;0.878;1775
Corrosive Attack Nanochip 11 (L);Pyro;78;51;0.450;1819
Corrosive Attack Nanochip 12 (L);Pyro;87;49;0.522;2030
Corrosive Attack Nanochip 13 (L);Pyro;97;49;0.546;2264
Corrosive Attack Nanochip 13, FEN Edition;Pyro;97;55;0.481;2038
Corrosive Strike Chip 1 (L);Pyro;97;5; ;1781
Corrosive Strike Chip 2 (L);Pyro;102;4; ;1870
Corrosive Strike Chip 3 (L);Pyro;107;4;6.503;1963
Corrosive Strike Chip 4 (L);Pyro;112;4; ;2053
Corrosive Strike Chip 5 (L);Pyro;117;3; ;2145
Corrosive Strike Nanochip (L);Pyro;97;5; ;2300
CQB-61 (Ammo (High Grade) variant);BLP;123;41; ;2400
CQB-61 (BLP Pack/Universal Ammo variant);BLP;123;41; ;2400
Creator's Edge (L);Longblades;104;35;24.870;0
Crusader Sword;Longblades;153;21; ;0
Cryogenic Attack Chip 1 (L);Cryogenic;11;24;0.533;214
Cryogenic Attack Chip 2 (L);Cryogenic;27;25;1.311;525
Cryogenic Attack Chip 3 (L);Cryogenic;47;25;2.271;915
Cryogenic Attack Chip 4 (L);Cryogenic;61;26;2.933;1189
Cryogenic Attack Chip 5 (L);Cryogenic;82;27;3.967;1596
Cryogenic Attack Chip 6 (L);Cryogenic;98;28;4.741;1906
Cryogenic Attack Chip 7 (L);Cryogenic;111;29;5.397;2158
Cryogenic Attack Chip 8 (L);Cryogenic;120;30;5.813;2335
Cryogenic Attack Nanochip 1;Cryogenic;11;24;0.196;247
Cryogenic Attack Nanochip 1 (L);Cryogenic;11;24;0.075;257
Cryogenic Attack Nanochip 2;Cryogenic;27;25;0.420;613
Cryogenic Attack Nanochip 2 (L);Cryogenic;27;25;0.165;632
Cryogenic Attack Nanochip 3;Cryogenic;47;25; ;1092
Cryogenic Attack Nanochip 3 (L);Cryogenic;47;25;0.272;1102
Cryogenic Attack Nanochip 4;Cryogenic;61;26;0.721;1409
Cryogenic Attack Nanochip 4 (L);Cryogenic;61;26;0.352;1430
Cryogenic Attack Nanochip 4, Adjusted (L);Cryogenic;66;26;0.417;1533
Cryogenic Attack Nanochip 5;Cryogenic;82;27;0.980;1893
Cryogenic Attack Nanochip 5 (L);Cryogenic;82;27;0.418;1928
Cryogenic Attack Nanochip 5, TEN Edition;Cryogenic;83;29;0.811;1864
Cryogenic Attack Nanochip 6;Cryogenic;98;28;0.928;2284
Cryogenic Attack Nanochip 6 (L);Cryogenic;98;28;0.480;2306
Cryogenic Attack Nanochip 7;Cryogenic;111;29;1.135;2582
Cryogenic Attack Nanochip 7 (L);Cryogenic;111;29;0.537;2613
Cryogenic Attack Nanochip 8;Cryogenic;120;30;1.231;2790
Cryogenic Attack Nanochip 8 (L);Cryogenic;120;30;0.564;2827
Cryogenic Attack Nanochip 9 (L);Cryogenic;131;31;0.683;3079
Cryogenic Attack Nanochip 10 (L);Cryogenic;146;31; ;3430
Cryogenic Strike Chip 1 (L);Cryogenic;172;2;8.371;3366
Cryogenic Strike Chip 2 (L);Cryogenic;189;2;9.201;3699
Cryogenic Strike Chip 3 (L);Cryogenic;200;1; ;3910
Cryogenic Strike Chip 4 (L);Cryogenic;216;1; ;4230
Cryogenic Strike Chip 5 (L);Cryogenic;231;1; ;4520
Cryogenic Strike Chip 6 (L);Cryogenic;245;1; ;4790
Cryogenic Strike Chip 7 (L);Cryogenic;258;1; ;5050
Cryogenic Strike Chip 8 (L);Cryogenic;271;1; ;5300
Cryogenic Strike Nanochip (L);Cryogenic;172;2; ;4140
Custom Killed By Death Axe (L);Axes;48;38; ; 
Dagger of Despair;Shortblades;59;50;14.682;0
Dagger of Despair, Adjusted;Shortblades;62;67;14.512;0
Dagger of Despair, SGA Edition;Shortblades;60;53; ;0
Dagger of Destruction (L);Shortblades;71;61; ;0
Dagger of Doom;Shortblades;53;30;12.500;0
Dakhim_G4 (L);BLP;13;70; ;284
Dakhim_G5 (L);BLP;16;69; ;350
Dakhim_G6 (L);BLP;19;70; ;415
Dakhim G2 (L);BLP;16;44;0.260;359
Dakhim G3 (L);BLP;18;48; ;395
Default Castorian EnKnuckles-B(L);Power Fist;5;80;1.202;0
Defensive Slicer (L);Longblades;45;44; ; 
Dehera Immolation Sword;Longblades;58;52;13.972;0
Demra Slicer (L);Longblades;38;44; ; 
DetPil Boa (L);Rocket;396;17; ;7800
DetPil Mamba (L);Rocket;363;17; ;7100
DetPil Python (L);Rocket;314;17;14.739;6200
DetPil Rv 50 (L);Rocket;52;17;2.697;1000
DetPil Rv 100 (L);Rocket;91;17;4.500;1800
DetPil V-Rex 1000 (L);Rocket;205;17;9.887;4000
DetPil V-Rex 2000 (L);Rocket;254;17;12.000;5000
DetPil V-Rex 2000, SGA Edition;Rocket;254;19;12.779;5000
Dirty Shank (L);Shortblades;30;56;7.200;0
DOA Boneshatter (L);BLP;94;49;1.900;2045
DOA Boneshatter, CDF Edition (L);BLP;94;49;0.004;2235
DOA Foeripper;BLP;101;59;0.820;2400
DOA Foeripper, SGA Edition;BLP;101;59;0.820;2400
DOA Incineration Gauntlets (L);Power Fist;130;53;7.602;2280
DOA Longbolt (L);BLP;112;56;2.250;2400
DOA Longbolt, CDF Edition (L);BLP;112;56;0.005;2625
DOA Loudmouth;BLP;79;50;0.900;1900
DOA Loudmouth, Adjusted;BLP;79;56;0.713;1880
DOA Loudmouth, SGA Edition;BLP;82;50;1.739;1900
DOA Mayhem Foeripper, Augmented;BLP;103.5;65;0.738;1890
DOA Rockjacker;BLP;93;55;0.500;2200
DOA Rockjacker, Mentor Edition;BLP;95;55;1.210;2200
DOA Slugstorm;BLP;102;54;2.015;2210
DOA Slugstorm (L);BLP;102;54;2.015;2210
DOA Slugstorm, CDF Edition (L);BLP;102;54;0.005;2411
DOA Smacktalker (L);BLP;110;58;2.350;2339
DOA Smacktalker, CDF Edition (L);BLP;110;58;0.005;2574
DOA Strikehammer;BLP;87;52;0.690;2100
DOA Strikehammer, Improved;BLP;104;59;1.000;2400
DOA Strikehammer, Improved, TWEN Edition;BLP;104;65;0.900;2160
Dominax Garter Lite (L);Whip;3;25;0.730;0
Dominax Original Boiga (L);Whip;67;29;16.000;0
Dominax Original Boiga, Adjusted;Whip;67;30;15.819;0
Dominax Original Boiga, Modified (L);Whip;69;31;15.877;0
Dominax Original Cobra;Whip;16;26;3.822;0
Dominax Original Cobra, Mentor Edition;Whip;22;27;5.232;0
Dominax Original Garter (L);Whip;3;25;0.730;0
Dominax Original Garter, Adjusted (L);Whip;3;25;0.708;0
Dominax Original Habu (L);Whip;15;29;3.628;0
Dominax Original Habu, Improved (L);Whip;15;29;3.489;0
Dominax Original Mamba;Whip;6;28;1.550;0
Dominax Original Mamba (L);Whip;6;28;1.500;0
Dominax Original  Mamushi (L);Whip;32;29;7.760;0
Dominax Original Mamushi, Adjusted (L);Whip;32;30;7.520;0
Dominax Original Mamushi, Modified (L);Whip;33;30;7.515;0
Dominax Original Moccasin;Whip;8;28;1.946;0
Dominax Original Moccasin (L);Whip;8;28;1.946;0
Dominax Original Moccasin, E.L.M. Editon (L);Whip;8;28;2.000;0
Dominax Original Rattlesnake;Whip;15;26;3.789;0
Dominax Original Rattlesnake, Mentor Edition;Whip;18;27;4.922;0
Dominax Original Viper;Whip;3;25;0.780;0
Dominax Original Viper (L);Whip;3;25;0.766;0
Duster Scorpion (L);Laser;7;74;0.850;84
E.A.C. ExoFist (L);Power Fist;6.7; ; ; 
E.A.C. Laspistol (L);Laser;5;70;0.018;118
E.A.C. Lasrifle (L);Laser;5.2;44; ;166
Eclipse 2000 Plasma Carbine Prototype (L);Plasma;65;30;0.789;1492
Eclipse 4000 Plasma Carbine Prototype (L);Plasma;117;30;1.417;2686
Ecotron v.15e (L);Laser;36;58;0.930;775
Ecotron v.15e Prototype;Laser;36;58;0.930;775
Ecotron v.26b (L);Laser;62;40;1.050;1390
Ecotron v.26b Prototype;Laser;62;40;1.050;1390
Ecotron v.42e (L);Laser;70;52; ;1570
Ecotron v.42e Prototype;Laser;70;52;1.177;1570
Electric Attack Chip 1 (L);Electric;10;33;0.489;194
Electric Attack Chip 1, First Gen;Electric;18;22;0.889;355
Electric Attack Chip 2 (L);Electric;14;34;0.673;273
Electric Attack Chip 2, First Gen;Electric;32;22;1.580;632
Electric Attack Chip 3 (L);Electric;24;35;1.159;467
Electric Attack Chip 3, First Gen;Electric;36;24;1.780;712
Electric Attack Chip 4 (L);Electric;36;36;1.733;702
Electric Attack Chip 4, First Gen;Electric;39;29;1.920;768
Electric Attack Chip 5 (L);Electric;43;37;2.081;837
Electric Attack Chip 5, First Gen;Electric;42;29;2.074;830
Electric Attack Chip 6 (L);Electric;51;38;2.467;993
Electric Attack Chip 6, First Gen;Electric;45;33;2.220;888
Electric Attack Chip 7 (L);Electric;62;40; ; 
Electric Attack Chip 7, First Gen;Electric;83;39;4.100;1640
Electric Attack Chip 8 (L);Electric;74;41;3.506;1440
Electric Attack Chip 8, First Gen;Electric;99;37;4.900;1956
Electric Attack Chip 9 (L);Electric;82;42;3.955;1597
Electric Attack Chip 10 (L);Electric;87;43; ;1694
Electric Attack Chip 11 (L);Electric;94;44;4.579;1833
Electric Attack Nanochip 1;Electric;10;33;0.200;221
Electric Attack Nanochip 1 (L);Electric;10;33;0.086;231
Electric Attack Nanochip 2;Electric;14;34;0.321;305
Electric Attack Nanochip 2 (L);Electric;14;34;0.130;322
Electric Attack Nanochip 3;Electric;24;35;0.561;523
Electric Attack Nanochip 3 (L);Electric;24;35;0.211;552
Electric Attack Nanochip 4;Electric;36;36;0.720;796
Electric Attack Nanochip 4 (L);Electric;36;36;0.442;831
Electric Attack Nanochip 5;Electric;43;37;0.913;946
Electric Attack Nanochip 5 (L);Electric;43;37;0.377;989
Electric Attack Nanochip 5, TEN Edition;Electric;44;39;0.932;937
Electric Attack Nanochip 6;Electric;51;38; ;1124
Electric Attack Nanochip 6 (L);Electric;51;38;0.449;1174
Electric Attack Nanochip 7;Electric;62;40;1.305;1365
Electric Attack Nanochip 7 (L);Electric;62;40;0.556;1425
Electric Attack Nanochip 8;Electric;74;41;1.880;1596
Electric Attack Nanochip 8 (L);Electric;74;41;0.789;1688
Electric Attack Nanochip 9;Electric;82;42;2.200;1775
Electric Attack Nanochip 9 (L);Electric;82;42;0.880;1870
Electric Attack Nanochip 10;Electric;87;43;2.182;1880
Electric Attack Nanochip 10 (L);Electric;87;43;0.955;1982
Electric Attack Nanochip 11;Electric;94;44;2.328;2039
Electric Attack Nanochip 11 (L);Electric;94;44;0.964;2146
Electric Attack Nanochip 12 (L);Electric;101;45;1.040;2310
Electric Attack Nanochip 13 (L);Electric;109;45;1.102;2495
Electric Attack Nanochip 13, FEN Edition;Electric;109;50;0.972;2246
Electric Attack Nanochip, SP Edition (L);Electric;10;33;0.860;231
Electric Strike Chip 1 (L);Electric;108;3;5.257;2115
Electric Strike Chip 2 (L);Electric;119;2;5.763;2305
Electric Strike Chip 3 (L);Electric;128;2; ;2505
Electric Strike Chip 4 (L);Electric;138;2;6.721;2700
Electric Strike Chip 5 (L);Electric;147;2; ;2870
Electric Strike Chip 6 (L);Electric;156;2; ;3050
Electric Strike Chip 7 (L);Electric;164;2; ;3208
Electric Strike Chip 8 (L);Electric;175;2; ;3420
Electric Strike Chip 9 (L);Electric;183;2; ;3580
Electric Strike Chip 10 (L);Electric;190;2; ;3715
Electric Strike Chip 11 (L);Electric;200;1; ;3910
Electric Strike Nanochip (L);Electric;108;3; ;2565
Elysia Prototype  (L);Laser;2;67; ;48
Embra Ignition Enblade (L);Longblades;199;30; ;0
Embra Laser Sword C1;Longblades;56;24;13.652;0
Embra Laser Sword C1 (L);Longblades;56;24;13.400;0
Embra Laser Sword C1, Adjusted;Longblades;59;29;14.203;0
Embra Laser Sword C1, Improved;Longblades;61;29;14.600;0
Embra Laser Sword C1, Improved (L);Longblades;61;29;14.000;0
Embra Quantum EnBlade (L);Longblades;193;32;45.230;0
Embra Spectral Enblade (L);Longblades;178;33;41.850;0
Embra Spectral EnBlade, E.L.M Edition (L);Longblades;178;33;0.011;4184
Embra Spectral EnBlade, MM Edition (L);Longblades;178;33;0.011;4184
Emik Enigma L1 (L);BLP;62;46;1.275;1375
Emik Enigma L1, CDF Edition (L);BLP;62;46;0.003;1502
Emik Enigma L2;BLP;62;52;1.266;1374
Emik Enigma L2 (L);BLP;62;52;1.265;1374
Emik Enigma L2, CDF Edition (L);BLP;62;52;0.003;1500
Emik Enigma L3 (L);BLP;62;57;1.260;1369
Emik Enigma L3, CDF Edition (L);BLP;62;57;0.003;1495
Emik Enigma L4;BLP;77;60;1.665;1675
Emik Enigma L4 (L);BLP;77;60;1.665;1675
Emik Enigma L4, CDF Edition (L);BLP;77;60;0.004;1841
Emik Enigma L4, E.L.M Edition (L);BLP;77;60;0.010;1841
Emik Enigma L4, MM Edition (L);BLP;77;60; ;1841
Emik Enigma L5 (L);BLP;82;62;1.780;1770
Emik Enigma L5, CDF Edition (L);BLP;82;62;0.005;1948
Emik Enigma L6 (L);BLP;85;62;1.710;1840
Emik Enigma L6, CDF Edition (L);BLP;85;62;0.005;2011
Emik S30;BLP;5;47;0.235;100
Emik S30 (L);BLP;5;47;0.211;100
Emik S50;BLP;16;45;0.990;300
Emik S50 (L);BLP;16;45;0.919;300
Emik S60 (L);BLP;29;52;0.698;637
Emik S60, CDF Edition (L);BLP;29;52;0.002;706
Emik S60, E.L.M Edition (L);BLP;29;52;0.012;705
Emik S60, MM Edition (L);BLP;29;52;0.012;705
Emik T10;BLP;51;54;1.754;1100
Emik T10 (L);BLP;51;54;1.507;1100
Emik X0 (L);BLP;62;51;0.012;1470
Emik X5;BLP;91;57;3.730;1900
Emik X5 (L);BLP;91;57;3.293;1900
Enkidd Dire S.1 (L);BLP;23;42;0.703;486
Enkidd Dire S.2 (L);BLP;25;42;0.703;532
Enkidd Dire S.3 (L);BLP;29;43;0.694;632
Enkidd Dire S.4 (L);BLP;33;43;0.855;710
Enkidd Dire S.5 (L);BLP;37;45;0.805;811
Enkidd Dire S.6 (L);BLP;41;47;0.796;912
Enkidd Dire S.7 (L);BLP;45;47;0.805;1007
Enkidd Dire S.8 (L);BLP;49;49;0.895;1100
Enkidd Dire S.9 (L);BLP;53;51;0.895;1190
Enkidd Dire S.11 (L);BLP;60;53;0.900;1355
Enkidd Dire S.12 (L);BLP;67;53; ;1520
Enkidd Dire S.13 (L);BLP;67;59;1.085;1525
Enkidd Fang S.1 (L);BLP;14;53;0.577;280
Enkidd Fang S.2 (L);BLP;16;53;0.585;329
Enkidd Fang S.3 (L);BLP;20;55;0.580;424
Enkidd Fang S.4 (L);BLP;21;55;0.677;440
Enkidd Fang S.5 (L);BLP;23;57;0.676;488
Enkidd Fang S.6 (L);BLP;26;60;0.675;560
Enkidd Fang S.7 (L);BLP;31;60;0.677;680
Enkidd Fang S.8 (L);BLP;34;62;0.775;745
Enkidd Fang S.9 (L);BLP;37;65;0.753;818
Enkidd Fang S.10 (L);BLP;39;68; ;865
Enkidd Fang S.11 (L);BLP;41;68; ;911
Enkidd Fang S.12 (L);BLP;43;71; ;950
Enkidd Fang S.13 (L);BLP;46;75;0.994;1013
Enkidd Howler Prototype;Gauss;40;28;0.700;897
Enkidd Howler S.1 (L);Gauss;49;29;0.900;1094
Enkidd Howler S.2 (L);Gauss;57;30;1.200;1258
Enkidd Howler S.3 (L);Gauss;62;32;1.600;1334
Enkidd Howler S.4;Plasma;110;13;1.550;2510
Enkidd Howler S.5 (L);Gauss;81;33;1.900;1768
Enkidd Series A-32 (L);Plasma;60;56;1.510;1300
Enkidd Series A-41 (L);Plasma;70;56;1.597;1533
Enkidd Series A-45 (L);Plasma;75;56;1.735;1640
Enkidd Series A-50 (L);Plasma;80;56;1.814;1753
Enkidd Series A-55 (L);Plasma;85;56;1.852;1870
Enki's Blood Red Supremacy (L);Shortblades;51;61; ;0
Enki's Green Envy Rage (L);Shortblades;51;61; ; 
Enki's Ice Blue Revenge (L);Shortblades;51;61; ;0
Enki's Poison Purple Nemesis (L);Shortblades;51;61; ;0
Enki's Pure White Anger (L);Shortblades;51;61; ; 
Enki's Solar Orange Victory (L);Shortblades;51;61; ; 
Eraktor Abomination (L);Grenade;454;13; ;8700
Eraktor Ekk 100 (L);Grenade;182;13;8.743;3500
Eraktor Ekk 200 (L);Grenade;223;13;10.237;4300
Eraktor Es 10 (L);Grenade;41;13;2.000;800
Eraktor Es 20 (L);Grenade;57;13;2.737;1100
Eraktor Force (L);Grenade;306;13;13.919;6000
Eraktor Impact (L);Grenade;348;13;16.037;6800
Eraktor Maximus (L);Grenade;414;13; ;8000
Eron SoulCrusher;Plasma;90;20;2.055;2000
Eron SoulGrinder;Plasma;123;20;3.500;2660
Eron SoulReamer;Plasma;160;20;3.800;3570
Eron SoulReaver;Plasma;99;12; ;1792
Eron SoulScreamer;Plasma;160;20;3.800;3570
Eron SoulShredder;Plasma;60;20;1.700;1300
Eron SoulSplitter;Plasma;225;5;14.462;4338
EWE EP-1 Neutron (L);Laser;2;67;0.005;48
EWE EP-2 Proton (L);Laser;4;74;0.000;96
EWE EP-10 Self Defense;Laser;12;30;0.040;300
EWE EP-10 Self Defense, SGA Edition;Laser;13;32;0.293;300
EWE EP-11 Self-Reliant;Laser;12;30;0.070;300
EWE EP-13 Galactica;Laser;12;35;0.040;300
EWE EP-14 Nebula;Laser;18;35;0.560;400
EWE EP-14 Nebula, Mentor Edition;Laser;18;38; ;390
EWE EP-16 Protector;Laser;17;35;0.290;400
EWE EP-17 Bodyguard;Laser;21;40;0.280;500
EWE EP-17 Bodyguard, Mentor Edition;Laser;23;43;0.690;500
EWE EP-17 Bodyguard, SGA Edition;Laser;23;40;0.783;500
EWE EP-21 Defender;Laser;26;46;0.450;600
